timestamp,tp_mean,tp_ema,counter_tp,avg_tp_mean,avg_tp_ema,counter_avg_tp,index,expiry_tag,offset
23-09-2025 09:16:00,1012.850000,1012.850000,1,1015.900000,1015.900000,1,SENSEX,next_week,+600
23-09-2025 09:17:00,960.550000,960.550000,1,951.830000,951.830000,1,SENSEX,next_week,+600
23-09-2025 09:18:00,970.400000,970.400000,1,971.970000,971.970000,1,SENSEX,next_week,+600
23-09-2025 09:19:00,990.100000,990.100000,1,1001.450000,1001.450000,1,SENSEX,next_week,+600
23-09-2025 09:20:00,984.000000,984.000000,1,1001.390000,1001.390000,1,SENSEX,next_week,+600
23-09-2025 09:21:00,986.500000,986.500000,1,998.830000,998.830000,1,SENSEX,next_week,+600
23-09-2025 09:22:00,964.000000,964.000000,1,994.820000,994.820000,1,SENSEX,next_week,+600
23-09-2025 09:23:00,947.700000,947.700000,1,988.650000,988.650000,1,SENSEX,next_week,+600
23-09-2025 09:24:00,934.250000,934.250000,1,951.120000,951.120000,1,SENSEX,next_week,+600
23-09-2025 09:25:00,949.100000,949.100000,1,953.700000,953.700000,1,SENSEX,next_week,+600
23-09-2025 09:26:00,946.000000,946.000000,1,956.660000,956.660000,1,SENSEX,next_week,+600
23-09-2025 09:27:00,959.400000,959.400000,1,954.330000,954.330000,1,SENSEX,next_week,+600
23-09-2025 09:28:00,942.500000,942.500000,1,953.670000,953.670000,1,SENSEX,next_week,+600
23-09-2025 09:29:00,960.850000,960.850000,1,953.890000,953.890000,1,SENSEX,next_week,+600
23-09-2025 09:30:00,949.100000,949.100000,1,924.600000,924.600000,1,SENSEX,next_week,+600
23-09-2025 09:31:00,987.250000,987.250000,1,922.400000,922.400000,1,SENSEX,next_week,+600
23-09-2025 09:32:00,984.850000,984.850000,1,923.390000,923.390000,1,SENSEX,next_week,+600
23-09-2025 09:33:00,978.850000,978.850000,1,923.510000,923.510000,1,SENSEX,next_week,+600
23-09-2025 09:34:00,981.100000,981.100000,1,922.940000,922.940000,1,SENSEX,next_week,+600
23-09-2025 09:35:00,962.500000,962.500000,1,930.750000,930.750000,1,SENSEX,next_week,+600
23-09-2025 09:36:00,965.450000,965.450000,1,931.090000,931.090000,1,SENSEX,next_week,+600
23-09-2025 09:37:00,968.100000,968.100000,1,931.120000,931.120000,1,SENSEX,next_week,+600
23-09-2025 09:38:00,977.950000,977.950000,1,928.740000,928.740000,1,SENSEX,next_week,+600
23-09-2025 09:39:00,977.800000,977.800000,1,931.740000,931.740000,1,SENSEX,next_week,+600
23-09-2025 09:40:00,1011.350000,1011.350000,1,913.140000,913.140000,1,SENSEX,next_week,+600
23-09-2025 09:41:00,995.000000,995.000000,1,914.470000,914.470000,1,SENSEX,next_week,+600
23-09-2025 09:42:00,967.250000,967.250000,1,933.720000,933.720000,1,SENSEX,next_week,+600
23-09-2025 09:43:00,998.100000,998.100000,1,935.800000,935.800000,1,SENSEX,next_week,+600
23-09-2025 09:44:00,1006.250000,1006.250000,1,943.250000,943.250000,1,SENSEX,next_week,+600
23-09-2025 09:45:00,989.950000,989.950000,1,946.010000,946.010000,1,SENSEX,next_week,+600
23-09-2025 09:46:00,1013.200000,1013.200000,1,947.500000,947.500000,1,SENSEX,next_week,+600
